Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,81.18,81.18,80.199997,80.209999,53.780407,96300
1/5/2015,81.470001,81.82,80.029999,80.290001,53.834034,147200
1/6/2015,80,80.150002,78.669998,79.040001,52.995922,140000
1/7/2015,80.860001,81.720001,80.629997,80.839996,54.202812,176400
1/8/2015,81.290001,81.860001,81.059998,81.519997,54.658749,213600
1/9/2015,80.529999,80.540001,79.279999,80.019997,53.653008,87300
1/12/2015,80.18,80.18,79.209999,79.529999,53.324463,224800
1/13/2015,81.18,81.660004,79.989998,80.900002,54.243046,258100
1/14/2015,79.760002,80.449997,79.019997,80.349998,53.874268,215000
1/15/2015,80.379997,81.220001,79.860001,80.010002,53.646305,143700
1/16/2015,79.800003,80.830002,79.690002,80.82,54.189407,251500
1/20/2015,79.629997,79.629997,78.839996,79.220001,53.116611,140400
1/21/2015,79.629997,81.029999,79.349998,80.650002,54.075424,141300
1/22/2015,81.330002,81.93,80.760002,81.739998,54.806252,231900
1/23/2015,81.790001,82.489998,81.510002,81.910004,54.920246,122500
1/26/2015,81.949997,82.07,81.230003,81.43,54.598412,103800
1/27/2015,79.790001,80.459999,79.410004,80.190002,53.766994,97400
1/28/2015,80.32,80.32,79.139999,79.169998,53.08308,159100
1/29/2015,79.989998,79.989998,78.709999,79.730003,53.458572,114300
1/30/2015,79.18,79.599998,78.18,79.209999,53.109901,145900
2/2/2015,79.190002,79.589996,78.739998,79.5,53.304344,114900
2/3/2015,79.949997,81.760002,79.949997,81.57,54.692272,168400
2/4/2015,82.669998,83.410004,81.599998,81.860001,54.886715,152500
2/5/2015,80.699997,81.160004,80.5,81.019997,54.323502,121400
2/6/2015,79.620003,79.769997,78.910004,79.040001,52.995922,169900
2/9/2015,79.059998,79.800003,79.029999,79.360001,53.210476,92600
2/10/2015,79.519997,79.720001,78.889999,79.190002,53.096504,83100
2/11/2015,78.849998,78.849998,78.150002,78.410004,52.573513,140600
2/12/2015,79.730003,80.139999,79.519997,79.800003,53.505501,95000
2/13/2015,80.099998,80.440002,79.989998,80.129997,53.726765,86900
2/17/2015,81.639999,83.769997,80.510002,83.120003,55.731541,266000
2/18/2015,83.919998,84.25,83.669998,83.800003,56.187473,124400
2/19/2015,83.190002,83.620003,82.68,82.760002,55.49017,140400
2/20/2015,83.080002,83.389999,82.620003,83.379997,55.905869,108100
2/23/2015,82.949997,82.949997,81.970001,82.230003,55.134804,150500
2/24/2015,83.029999,83.5,82.790001,83.089996,55.711426,82900
2/25/2015,83.25,83.459999,82.739998,82.989998,55.644379,98100
2/26/2015,84.089996,84.089996,83.18,83.269997,55.832108,110500
2/27/2015,83.339996,84.230003,83.269997,83.68,56.107025,125000
3/2/2015,83.629997,83.68,83.019997,83.120003,55.731541,118100
3/3/2015,82.550003,82.900002,82.330002,82.75,55.483452,140500
3/4/2015,81.459999,81.489998,80.720001,81.349998,54.544762,131800
3/5/2015,80.599998,80.690002,80.18,80.260002,53.813927,108100
3/6/2015,79.690002,79.82,78.650002,78.940002,52.928871,141500
